absolute,絕對的;完全的
electrician,電工;電氣技師
electronics,電子學
electronic mail,電子郵件
e-mail,電子郵件
embarrassment,窘;難堪;使人為難的人(或事物)
embassy,大使館
emphasis,強調;重視;重點
empire,帝國
encounter,遭遇;衝突
enforcement,執行;強制
engineering,工程;工程學
enlargement,放大
entertainment,招待;款待; 演藝界
enthusiasm,熱心;熱情
equality,相等;平等
equipment,配備;裝備
era,時代;年代
errand,差事;差使
escalator,電扶梯
essay,論說文;散文
essential,要素;要點;本質;實質
establishment,建立;創立;建立的機構
estimate,估計;估價
evaluation,評估;估價
eve,前夕
evidence,證據;證詞;證人;物證
examinee,應試者;受檢查者
examiner,主考人;檢查人;審查員
exception,例外
exhaust,排出;排氣
exhibit,展示品;陳列品
expansion,擴展;擴張
explanation,說明;解釋
explosion,爆發;爆炸
explosive,爆炸物;炸藥
exposure,暴露;暴曬
extent,程度;限度;範圍
facility,能力;技能;設備; 設施; 工具;(供特定用途的)場所
fame,聲譽;名望
fantasy,空想;幻想
farewell,告別;告別辭
feast,盛宴;筵席
ferry,渡輪
fetch,活人的魂;鬼
fiction,小說
finance,財政;金融
firecracker,爆竹;鞭炮
fireplace,壁爐
flunk,失敗;不及格
flush,紅暈
foam,泡沫
forecast,預測
formation,形成;構成物; 形態; 結構
formula,配方;處方;公式
fort,堡壘;要塞
fossil,化石;守舊的人(或事物)
foundation,建立;創辦;基礎;基金會
founder,創立者;奠基者
fragrance,芬芳;香味
frame,骨架;結構
freeway,高速公路
frequency,頻率;次數
freshman,一年級生;新生
frost,霜
frown,蹙額;不悅之色
frustration,失望;挫折
fuel,燃料
fulfillment,完成;履行;實現;成就(感)
fundamental,基本原則(或原理);綱要
funeral,喪葬;葬儀
gallery,畫廊;美術館
gangster,歹徒;匪盜;流氓
gaze,凝視;注視
gear,齒輪;工具;設備
gene,基因;遺傳因子
generation,世代;產生
generosity,寬宏大量;慷慨
genius,天才
germ,微生物;細菌;病菌
giggle,咯咯地笑;傻笑
ginger,生薑;薑
glide,滑翔;下滑
glimpse,瞥見;一瞥
globe,地球儀;地球
goods,商品;貨物
grace,優雅;(票據等到期後的)寬限
graduation,畢業典禮
grammar,文法
grapefruit,葡萄柚
gratitude,感激之情;感恩;感謝
grave,墓穴
greeting,問候;迎接;招呼;賀詞;問候語
grief,悲痛;悲傷
grind,研磨
groom,馬伕;新郎
guarantee,保證;保證書
guilt,有罪;犯罪;過失
gulf,海灣
gull,鷗;海鷗; 易受騙的人
halt,暫停;停止;終止
handwriting,書寫;手寫
hardship,艱難;困苦
hardware,金屬器件;硬體
harmonica,口琴
harmony,和諧;協調
haste,急忙;慌忙;性急
hatred,憎恨;增惡;敵意
headphone,頭戴式耳機
helicopter,直昇機
herd,畜群;牧群
hesitation,躊躇;猶豫
homeland,祖國;家鄉
honeymoon,蜜月
hook,鉤;掛鉤
horizon,地平線
hose,軟管;長統襪;短統襪
hostel,旅舍
household,一家人;家眷;家庭;戶
housewife,家庭主婦
housework,家務
humanity,人性;人道;慈愛
humidity,濕氣;濕度
hurricane,颶風;暴風雨
hydrogen,氫
iceberg,浮在海洋上的巨大冰塊
identification,認出;識別
idiom,成語
idol,偶像
illustration,說明;圖解
imitation,模仿;模擬;仿造;偽造
immigrant,移民;僑民
immigration,移居
impact,衝擊;撞擊;影響
impression,印象
incident,事件;事變
indication,指示;指點
infant,嬰兒
infection,傳染;侵染
inflation,通貨膨脹
information,資訊
ingredient,要素;因素
initial,(字的)起首字母
innocence,天真無邪
input,輸入
insert,插入物;夾在報刊中的散頁廣告
inspection,檢查;檢閱;視察
inspiration,靈感
instinct,本能;天性;直覺
instructor,教練;指導者
insult,侮辱;羞辱
insurance,保險;保險契約
intellectual,知識分子
intelligence,智能;智慧;理解力
intensity,強度;極度
intention,意圖
interaction,互動
intermediate,中間事物;調解人
Internet,網際網路
interruption,中止;干擾
intimate,至交;密友
intonation,語調;抑揚之聲
invasion,入侵;侵略
invention,發明;創造
investigation,調查
investment,投資;投資額
involvement,介入
isolation,隔離
itch,癢
jealousy,妒忌;猜忌
junior,較年少者;三年級生
knuckle,關節;肘;蹄;(鉸鏈的)關節
lab,實驗室;研究室
labor,勞工;分娩;陣痛
laboratory,實驗室;研究室
lag,滯後;衰退
landmark,地標;陸標;里程碑
landscape,風景;景色
landslide,山崩;(選舉中的)壓倒性大勝利
launch,(船的)下水;發射
learning,學習;學問;學識
lecture,授課;冗長的訓話
lecturer,講演者
legend,傳說;傳奇故事
license,許可;特許
limitation,極限;限度
liquor,酒;含酒精飲料
literature,文學;文學作品
loan,貸款
location,位置;場所
locker,(公共場所的)衣物櫃
logic,邏輯;邏輯學
lotion,(化妝等用的)化妝水;塗劑
loyalty,忠誠;忠心
luxury,奢侈品;奢華;享受;樂趣
ma'am,女士
machinery,機器;機械
madam,夫人;太太
makeup,構造;性格;化妝;補考;排版
manual,手冊
manufacture,製品;產品
manufacturer,製造業者;廠商
marathon,馬拉松賽跑
margin,邊緣;利潤
maturity,成熟;完善;(支票等的)到期
maximum,最高極限
measure,尺寸
mechanic,技工
memorial,紀念碑
mercy,慈悲;憐憫;仁慈
merit,長處;優點;法律依據
messenger,送信人
microscope,顯微鏡
mineral,礦物
minimum,最小數;最低限度
minister,部長;大臣
ministry,(常大寫)(政府的)部
mischief,頑皮;淘氣
misfortune,不幸;惡運
modesty,謙遜;虛心
monitor,監視器
monthly,月刊
monument,紀念碑;紀念塔;紀念館
motivation,刺激;推動
mudslide,塌方;山崩
murderer,謀殺犯;兇手
murmur,低聲抱怨
mustache,髭;小鬍子
nationality,國籍
neglect,忽略;疏忽;疏漏
nightmare,夢魘;惡夢
nonsense,胡說;胡鬧
noun,名詞
nursery,托兒所;苗圃
nylon,尼龍
obedience,服從;順從
objection,反對;異議
objective,目的;目標
observation,觀察;觀測
obstacle,障礙(物);妨礙
occupation,工作;職業;佔領;佔用
offense,進攻;攻擊;冒犯;觸怒
opera,歌劇
operation,手術;操作
oral,口試
orbit,運行軌道
orchestra,管弦樂隊
outcome,結果;結局
oval,卵形(物)
oxygen,氧;氧氣
pace,步速;速度;進度
panel,鑲板;壁板;專門小組
parachute,降落傘
paragraph,(文章的)段;節
participation,參加
participle,分詞
partnership,合夥(或合作)關係
pasta,麵糰
pebble,小卵石
pedal,踏板;腳蹬
